id,nombre,direccion,barrio,comuna,anillo,distancia,cantidad_delitos,area_km2,densidad,base,densidad_relativa
12,Comisaria Vecinal 4-C,PINZON 456,BOCA,4,2,100-200 m,715,0.09409645471650507,7598.585963245487,5866.320911501864,1.2952898550686578
12,Comisaria Vecinal 4-C,PINZON 456,BOCA,4,3,200-300 m,1362,0.15682742452706455,8684.705523331171,5866.320911501864,1.480434782608536
12,Comisaria Vecinal 4-C,PINZON 456,BOCA,4,4,300-400 m,1484,0.21955839433845675,6759.021919755723,5866.320911501864,1.1521739130403819
12,Comisaria Vecinal 4-C,PINZON 456,BOCA,4,5,400-500 m,1809,0.282289364148873,6408.317952234199,5866.320911501864,1.0923913043471014
12,Comisaria Vecinal 4-C,PINZON 456,BOCA,4,6,500-600 m,1666,0.3450203339603231,4828.700908369035,5866.320911501864,0.8231225296423165
13,Comisaria Vecinal 4-D (edificio anexo),"MONTES DE OCA, MANUEL 861",BARRACAS,4,1,0-100 m,405,0.03136548490540953,12912.282441077472,12912.282441077472,1.0
13,Comisaria Vecinal 4-D (edificio anexo),"MONTES DE OCA, MANUEL 861",BARRACAS,4,2,100-200 m,548,0.09409645471650507,5823.811339662275,12912.282441077472,0.4510288065830369
13,Comisaria Vecinal 4-D (edificio anexo),"MONTES DE OCA, MANUEL 861",BARRACAS,4,3,200-300 m,843,0.15682742452706455,5375.335356951672,12912.282441077472,0.4162962962962514
13,Comisaria Vecinal 4-D (edificio anexo),"MONTES DE OCA, MANUEL 861",BARRACAS,4,4,300-400 m,1328,0.21955839433845675,6048.504790724798,12912.282441077472,0.46843033509574294
13,Comisaria Vecinal 4-D (edificio anexo),"MONTES DE OCA, MANUEL 861",BARRACAS,4,5,400-500 m,1039,0.282289364148873,3680.620426960383,12912.282441077472,0.2850480109737479
13,Comisaria Vecinal 4-D (edificio anexo),"MONTES DE OCA, MANUEL 861",BARRACAS,4,6,500-600 m,1383,0.3450203339603231,4008.459397523635,12912.282441077472,0.3104377104369742
