id,banco,red,ubicacion,barrio,comuna,anillo,distancia,cantidad_delitos,area_km2,densidad,base,densidad_relativa
11685,CABAL COOP. LTDA.,LINK,Av. Caseros 3267,Parque Patricios,Comuna 4,2,50-100 m,89.0,0.023524113679051644,3783.3518922013627,5228.677334161035,0.7235772357730349
11685,CABAL COOP. LTDA.,LINK,Av. Caseros 3267,Parque Patricios,Comuna 4,3,100-150 m,76.0,0.03920685613180504,1938.4364751028318,5228.677334161035,0.3707317073169256
11727,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Cnel. Roca 5252,Villa Riachuelo,Comuna 8,1,0-50 m,0.0,0.007841371226357887,0.0,0.0,
11727,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Cnel. Roca 5252,Villa Riachuelo,Comuna 8,2,50-100 m,8.0,0.023524113679051644,340.0765745798978,0.0,
11727,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Cnel. Roca 5252,Villa Riachuelo,Comuna 8,3,100-150 m,46.0,0.03920685613180504,1173.2641822990824,0.0,
11732,CAJERO EXPRESS,LINK,Av. Cnel. Roca 6787,Villa Riachuelo,Comuna 8,1,0-50 m,9.0,0.007841371226357887,1147.7584392060808,1147.7584392060808,1.0
11732,CAJERO EXPRESS,LINK,Av. Cnel. Roca 6787,Villa Riachuelo,Comuna 8,2,50-100 m,26.0,0.023524113679051644,1105.2488673846678,1147.7584392060808,0.9629629629638643
11732,CAJERO EXPRESS,LINK,Av. Cnel. Roca 6787,Villa Riachuelo,Comuna 8,3,100-150 m,14.0,0.03920685613180504,357.08040330841635,1147.7584392060808,0.31111111111098727
11711,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Comodoro Py 2002,Retiro,Comuna 1,1,0-50 m,3.0,0.007841371226357887,382.58614640202694,382.58614640202694,1.0
11711,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Comodoro Py 2002,Retiro,Comuna 1,2,50-100 m,4.0,0.023524113679051644,170.0382872899489,382.58614640202694,0.4444444444448604
11711,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Comodoro Py 2002,Retiro,Comuna 1,3,100-150 m,118.0,0.03920685613180504,3009.6776850280808,382.58614640202694,7.866666666663535
11722,BANCO DE LA NACION ARGENTINA,LINK,Av. Comodoro Py 2055,Retiro,Comuna 1,1,0-50 m,12.0,0.007841371226357887,1530.3445856081078,1530.3445856081078,1.0
11722,BANCO DE LA NACION ARGENTINA,LINK,Av. Comodoro Py 2055,Retiro,Comuna 1,2,50-100 m,73.0,0.023524113679051644,3103.1987430415675,1530.3445856081078,2.0277777777796757
11722,BANCO DE LA NACION ARGENTINA,LINK,Av. Comodoro Py 2055,Retiro,Comuna 1,3,100-150 m,20.0,0.03920685613180504,510.11486186916625,1530.3445856081078,0.3333333333332007
11231,BANCO DE LA NACION ARGENTINA,LINK,Av. Constituyentes 5451,Villa Urquiza,Comuna 12,1,0-50 m,8.0,0.007841371226357887,1020.2297237387385,1020.2297237387385,1.0
11231,BANCO DE LA NACION ARGENTINA,LINK,Av. Constituyentes 5451,Villa Urquiza,Comuna 12,2,50-100 m,71.0,0.023524113679051644,3018.179599396593,1020.2297237387385,2.9583333333361024
11231,BANCO DE LA NACION ARGENTINA,LINK,Av. Constituyentes 5451,Villa Urquiza,Comuna 12,3,100-150 m,93.0,0.03920685613180504,2372.034107691623,1020.2297237387385,2.3249999999990747
10989,CABAL COOP. LTDA.,LINK,Av. Cordoba 1527,Recoleta,Comuna 2,1,0-50 m,17.0,0.007841371226357887,2167.988162944819,2167.988162944819,1.0
10989,CABAL COOP. LTDA.,LINK,Av. Cordoba 1527,Recoleta,Comuna 2,2,50-100 m,8.0,0.023524113679051644,340.0765745798978,2167.988162944819,0.15686274509818604
10989,CABAL COOP. LTDA.,LINK,Av. Cordoba 1527,Recoleta,Comuna 2,3,100-150 m,0.0,0.03920685613180504,0.0,2167.988162944819,0.0
11002,CABAL COOP. LTDA.,LINK,Av. Córdoba 1527,Recoleta,Comuna 2,1,0-50 m,128.0,0.007841371226357887,16323.675579819816,16323.675579819816,1.0
11002,CABAL COOP. LTDA.,LINK,Av. Córdoba 1527,Recoleta,Comuna 2,2,50-100 m,17.0,0.023524113679051644,722.6627209822827,16323.675579819816,0.04427083333337477
11002,CABAL COOP. LTDA.,LINK,Av. Córdoba 1527,Recoleta,Comuna 2,3,100-150 m,0.0,0.03920685613180504,0.0,16323.675579819816,0.0
10990,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Cordoba 2543,Recoleta,Comuna 2,1,0-50 m,39.0,0.007841371226357887,4973.61990322635,4973.61990322635,1.0
10990,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Cordoba 2543,Recoleta,Comuna 2,2,50-100 m,164.0,0.023524113679051644,6971.569778887904,4973.61990322635,1.4017094017107135
10990,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Cordoba 2543,Recoleta,Comuna 2,3,100-150 m,96.0,0.03920685613180504,2448.551336971998,4973.61990322635,0.4923076923074964
11209,BANCO DE LA NACION ARGENTINA,LINK,Av. Córdoba 4402,Villa Crespo,Comuna 15,1,0-50 m,86.0,0.007841371226357887,10967.469530191438,10967.469530191438,1.0
11209,BANCO DE LA NACION ARGENTINA,LINK,Av. Córdoba 4402,Villa Crespo,Comuna 15,2,50-100 m,70.0,0.023524113679051644,2975.6700275741055,10967.469530191438,0.2713178294576183
11209,BANCO DE LA NACION ARGENTINA,LINK,Av. Córdoba 4402,Villa Crespo,Comuna 15,3,100-150 m,186.0,0.03920685613180504,4744.068215383246,10967.469530191438,0.4325581395347116
11792,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Córdoba 5991, entre Arévalo y Av. Dorrego",Palermo,Comuna 14,1,0-50 m,85.0,0.007841371226357887,10839.940814724096,10839.940814724096,1.0
11792,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Córdoba 5991, entre Arévalo y Av. Dorrego",Palermo,Comuna 14,2,50-100 m,37.0,0.023524113679051644,1572.8541574320273,10839.940814724096,0.1450980392158221
