modelo,threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
Logistic Regression,0.41,0.7866026243493349,0.20224389597043863,0.8227564631993971,0.32398967699158987,0.8894875747578892,814003,223984,12153,56420
Logistic Regression,0.42,0.7930532460960092,0.20648726106223192,0.8158451827202748,0.3288404544566531,0.8894875747578892,821615,216372,12627,55946
Logistic Regression,0.43,0.7992942090803933,0.21077746435884417,0.8087417344736693,0.33363661159945135,0.8894875747578892,829008,208979,13114,55459
Logistic Regression,0.44,0.8052270098322729,0.21506609748810565,0.8017520406560485,0.33834763350006125,0.8894875747578892,836052,201935,13593,54980
Logistic Regression,0.45,0.8108353817235396,0.21915123709580286,0.7938638546339434,0.3426364065817396,0.8894875747578892,842799,195188,14134,54439
Logistic Regression,0.46,0.816403990746096,0.22356271022673435,0.7867372077172073,0.34730151148836486,0.8894875747578892,849450,188537,14623,53950
Logistic Regression,0.47,0.8217240818392135,0.22797466463743507,0.7797409085542217,0.3518808488309853,0.8894875747578892,855816,182171,15102,53471
Logistic Regression,0.48,0.8266817886061307,0.23218691308044978,0.7723715130869733,0.3560764364006168,0.8894875747578892,861807,176180,15607,52966
Logistic Regression,0.49,0.8314695994794679,0.23638387300109093,0.7646944147186706,0.3601349745331799,0.8894875747578892,867631,170356,16133,52440
Logistic Regression,0.5,0.8360378108733372,0.24068658969049656,0.7574983839602705,0.36425548325122875,0.8894875747578892,873179,164808,16626,51947
Logistic Regression,0.51,0.8405906593406594,0.2451840092737913,0.7500933977237748,0.36845537688136926,0.8894875747578892,878724,159263,17133,51440
Logistic Regression,0.52,0.8449483082706767,0.24973520224006013,0.7431921973011749,0.3726931865904525,0.8894875747578892,884019,153968,17606,50967
Logistic Regression,0.53,0.8490158689994216,0.2540415870450291,0.7357186065858421,0.3764755761817832,0.8894875747578892,889032,148955,18118,50455
Logistic Regression,0.54,0.8530771038172353,0.2586008813535463,0.7283394840718664,0.3804356263975775,0.8894875747578892,894032,143955,18624,49949
Logistic Regression,0.55,0.8569928426836322,0.263227009218473,0.7208413926027522,0.38432626964775335,0.8894875747578892,898879,139108,19138,49435
Logistic Regression,0.56,0.8607188042220937,0.26779161012857294,0.7134915727158172,0.3880816878350572,0.8894875747578892,903506,134481,19642,48931
Logistic Regression,0.57,0.8642676402544824,0.2722712601910227,0.7057725683022954,0.39155340829500734,0.8894875747578892,907962,130025,20171,48402
Logistic Regression,0.58,0.8677902689415846,0.27705894970879225,0.6984669602519109,0.39528827658427745,0.8894875747578892,912361,125626,20672,47901
Logistic Regression,0.59,0.8712532533256218,0.2818222381554526,0.690462829723696,0.3987826428962458,0.8894875747578892,916741,121246,21220,47353
Logistic Regression,0.6,0.8745562825332562,0.28662111553129,0.6825007201706944,0.4021734496377313,0.8894875747578892,920942,117045,21766,46807
Logistic Regression,0.61,0.877764423076923,0.2916646609263257,0.6753965999146236,0.4058091962464186,0.8894875747578892,924979,113008,22253,46320
