id,nombre,direccion,barrio,comuna,anillo,distancia,cantidad_delitos,area_km2,densidad,base,dens_rel
29,Comisaria Vecinal 2-B,CHARCAS 2844,RECOLETA,2,2,300-600 m,8914,0.8468680924476529,10525.842311801347,7889.068037379876,1.3342314024835307
29,Comisaria Vecinal 2-B,CHARCAS 2844,RECOLETA,2,3,600-900 m,11709,1.4114468207453075,8295.7429411454,7889.068037379876,1.0515491692857284
29,Comisaria Vecinal 2-B,CHARCAS 2844,RECOLETA,2,4,900-1200 m,15101,1.9760255490442793,7642.107667739277,7889.068037379876,0.9686958752959849
2,Comisaria Vecinal 1-B (edificio anexo),PERU 1056,SAN TELMO,1,1,0-300 m,3016,0.28228936414897915,10684.072384704852,10684.072384704852,1.0
2,Comisaria Vecinal 1-B (edificio anexo),PERU 1056,SAN TELMO,1,2,300-600 m,6942,0.8468680924476529,8197.26243308559,10684.072384704852,0.7672413793096966
2,Comisaria Vecinal 1-B (edificio anexo),PERU 1056,SAN TELMO,1,3,600-900 m,10248,1.4114468207453075,7260.634867269455,10684.072384704852,0.6795755968167778
2,Comisaria Vecinal 1-B (edificio anexo),PERU 1056,SAN TELMO,1,4,900-1200 m,12215,1.9760255490442793,6181.6002358410215,10684.072384704852,0.5785809018563467
41,Comisaria Vecinal 3-B,CATAMARCA 1345,SAN CRISTOBAL,3,1,0-300 m,1390,0.28228936414897915,4924.025402765167,4924.025402765167,1.0
41,Comisaria Vecinal 3-B,CATAMARCA 1345,SAN CRISTOBAL,3,2,300-600 m,4571,0.8468680924476529,5397.534800004932,4924.025402765167,1.0961630695434386
41,Comisaria Vecinal 3-B,CATAMARCA 1345,SAN CRISTOBAL,3,3,600-900 m,6555,1.4114468207453075,4644.170721599461,4924.025402765167,0.9431654676256241
41,Comisaria Vecinal 3-B,CATAMARCA 1345,SAN CRISTOBAL,3,4,900-1200 m,8537,1.9760255490442793,4320.288269617257,4924.025402765167,0.8773895169572294
34,Comisaria Vecinal 14-A,"ALVAREZ, JULIAN 2373",PALERMO,14,1,0-300 m,2427,0.28228936414897915,8597.560901087094,8597.560901087094,1.0
34,Comisaria Vecinal 14-A,"ALVAREZ, JULIAN 2373",PALERMO,14,2,300-600 m,7786,0.8468680924476529,9193.875728032903,8597.560901087094,1.0693586045863785
34,Comisaria Vecinal 14-A,"ALVAREZ, JULIAN 2373",PALERMO,14,3,600-900 m,8476,1.4114468207453075,6005.18551278063,8597.560901087094,0.6984754841365907
34,Comisaria Vecinal 14-A,"ALVAREZ, JULIAN 2373",PALERMO,14,4,900-1200 m,12472,1.9760255490442793,6311.659282964324,8597.560901087094,0.7341220789917596
40,Comisaria Vecinal 1-E,"HUERGO, ING. AV. 1500",PUERTO MADERO,1,1,0-300 m,342,0.28228936414897915,1211.5227969393434,1211.5227969393434,1.0
40,Comisaria Vecinal 1-E,"HUERGO, ING. AV. 1500",PUERTO MADERO,1,2,300-600 m,2434,0.8468680924476529,2874.119383769854,1211.5227969393434,2.372319688107157
40,Comisaria Vecinal 1-E,"HUERGO, ING. AV. 1500",PUERTO MADERO,1,3,600-900 m,4529,1.4114468207453075,3208.7641797290557,1211.5227969393434,2.6485380116951336
40,Comisaria Vecinal 1-E,"HUERGO, ING. AV. 1500",PUERTO MADERO,1,4,900-1200 m,8219,1.9760255490442793,4159.359176289591,1211.5227969393434,3.4331662489532464
12,Comisaria Vecinal 4-C,PINZON 456,BOCA,4,1,0-300 m,1956,0.28228936414897915,6929.060207056595,6929.060207056595,1.0
12,Comisaria Vecinal 4-C,PINZON 456,BOCA,4,2,300-600 m,4211,0.8468680924476529,4972.439081780959,6929.060207056595,0.7176209952277509
12,Comisaria Vecinal 4-C,PINZON 456,BOCA,4,3,600-900 m,4085,1.4114468207453075,2894.1933482431423,6929.060207056595,0.4176891615540704
12,Comisaria Vecinal 4-C,PINZON 456,BOCA,4,4,900-1200 m,4515,1.9760255490442793,2284.889485454131,6929.060207056595,0.32975460122675604
13,Comisaria Vecinal 4-D (edificio anexo),"MONTES DE OCA, MANUEL 861",BARRACAS,4,1,0-300 m,1561,0.28228936414897915,5529.786801234839,5529.786801234839,1.0
13,Comisaria Vecinal 4-D (edificio anexo),"MONTES DE OCA, MANUEL 861",BARRACAS,4,2,300-600 m,3244,0.8468680924476529,3830.5847497737905,5529.786801234839,0.6927183429419729
13,Comisaria Vecinal 4-D (edificio anexo),"MONTES DE OCA, MANUEL 861",BARRACAS,4,3,600-900 m,4850,1.4114468207453075,3436.1903889790065,5529.786801234839,0.6213965406788706
13,Comisaria Vecinal 4-D (edificio anexo),"MONTES DE OCA, MANUEL 861",BARRACAS,4,4,900-1200 m,5469,1.9760255490442793,2767.67676543713,5529.786801234839,0.5005033403492317
45,Comisaria Vecinal 15-B,CAMARGO 645,VILLA CRESPO,15,1,0-300 m,2409,0.28228936414897915,8533.796543353445,8533.796543353445,1.0
