id,nombre,direccion,barrio,comuna,anillo,distancia,cantidad_delitos,area_km2,densidad,base,dens_rel
44,Comisaria Comunal 8,DIAZ ANA Y CAFAYATE,VILLA LUGANO,8,2,300-600 m,3214,0.8468680924476529,3795.1601065884597,4544.981720681805,0.8350220836573876
44,Comisaria Comunal 8,DIAZ ANA Y CAFAYATE,VILLA LUGANO,8,3,600-900 m,4993,1.4114468207453075,3537.504868489109,4544.981720681805,0.7783320342943949
44,Comisaria Comunal 8,DIAZ ANA Y CAFAYATE,VILLA LUGANO,8,4,900-1200 m,7083,1.9760255490442793,3584.46782402472,4544.981720681805,0.7886649593580772
53,Comisaria Comunal 14,REPUBLICA ARABE SIRIA 2961,PALERMO,14,1,0-300 m,1376,0.28228936414897915,4874.430902305662,4874.430902305662,1.0
53,Comisaria Comunal 14,REPUBLICA ARABE SIRIA 2961,PALERMO,14,2,300-600 m,3981,0.8468680924476529,4700.850150693422,4874.430902305662,0.9643895348829061
53,Comisaria Comunal 14,REPUBLICA ARABE SIRIA 2961,PALERMO,14,3,600-900 m,8628,1.4114468207453075,6112.876428064096,4874.430902305662,1.2540697674414945
53,Comisaria Comunal 14,REPUBLICA ARABE SIRIA 2961,PALERMO,14,4,900-1200 m,10243,1.9760255490442793,5183.637430677002,4874.430902305662,1.0634343853812929
54,Comisaria Vecinal 10-C,BASUALDO 165,VILLA LURO,10,1,0-300 m,897,0.28228936414897915,3177.5904937268742,3177.5904937268742,1.0
54,Comisaria Vecinal 10-C,BASUALDO 165,VILLA LURO,10,2,300-600 m,2168,0.8468680924476529,2560.020880859919,3177.5904937268742,0.8056484578216901
54,Comisaria Vecinal 10-C,BASUALDO 165,VILLA LURO,10,3,600-900 m,3037,1.4114468207453075,2151.692827078194,3177.5904937268742,0.6771460423632361
54,Comisaria Vecinal 10-C,BASUALDO 165,VILLA LURO,10,4,900-1200 m,4236,1.9760255490442793,2143.6969790440085,3177.5904937268742,0.6746297181074923
6,Comisaria Vecinal 3-A,LAVALLE 2625,BALVANERA,3,1,0-300 m,5779,0.28228936414897915,20471.901296820073,20471.901296820073,1.0
6,Comisaria Vecinal 3-A,LAVALLE 2625,BALVANERA,3,2,300-600 m,9783,0.8468680924476529,11551.976142736434,20471.901296820073,0.5642844782829632
6,Comisaria Vecinal 3-A,LAVALLE 2625,BALVANERA,3,3,600-900 m,18802,1.4114468207453075,13321.082823419232,20471.901296820073,0.6507008132893066
6,Comisaria Vecinal 3-A,LAVALLE 2625,BALVANERA,3,4,900-1200 m,20862,1.9760255490442793,10557.555801892377,20471.901296820073,0.5157095889052716
35,Comisaria Vecinal 3-A (edificio anexo),"URQUIZA, Gral. 544",BALVANERA,3,1,0-300 m,2093,0.28228936414897915,7414.37781869604,7414.37781869604,1.0
35,Comisaria Vecinal 3-A (edificio anexo),"URQUIZA, Gral. 544",BALVANERA,3,2,300-600 m,5094,0.8468680924476529,6015.104412869201,7414.37781869604,0.8112756808402127
35,Comisaria Vecinal 3-A (edificio anexo),"URQUIZA, Gral. 544",BALVANERA,3,3,600-900 m,8413,1.4114468207453075,5960.550462367089,7414.37781869604,0.8039178213088911
35,Comisaria Vecinal 3-A (edificio anexo),"URQUIZA, Gral. 544",BALVANERA,3,4,900-1200 m,17149,1.9760255490442793,8678.531514075945,7414.37781869604,1.1705003071454256
7,Comisaria Comunal 5,BILLINGHURST 471,ALMAGRO,5,1,0-300 m,3046,0.28228936414897915,10790.346314260934,10790.346314260934,1.0
7,Comisaria Comunal 5,BILLINGHURST 471,ALMAGRO,5,2,300-600 m,9961,0.8468680924476529,11762.162358969399,10790.346314260934,1.0900634712181643
7,Comisaria Comunal 5,BILLINGHURST 471,ALMAGRO,5,3,600-900 m,12635,1.4114468207453075,8951.807332938091,10790.346314260934,0.8296126066970659
7,Comisaria Comunal 5,BILLINGHURST 471,ALMAGRO,5,4,900-1200 m,21299,1.9760255490442793,10778.706788635112,10790.346314260934,0.998921301940936
56,Comisaria Comunal 12,RAMALLO 4398,SAAVEDRA,12,1,0-300 m,610,0.28228936414897915,2160.9032343070157,2160.9032343070157,1.0
56,Comisaria Comunal 12,RAMALLO 4398,SAAVEDRA,12,2,300-600 m,1896,0.8468680924476529,2238.837449312918,2160.9032343070157,1.0360655737696165
56,Comisaria Comunal 12,RAMALLO 4398,SAAVEDRA,12,3,600-900 m,2858,1.4114468207453075,2024.8726044746393,2160.9032343070157,0.9370491803275955
56,Comisaria Comunal 12,RAMALLO 4398,SAAVEDRA,12,4,900-1200 m,2642,1.9760255490442793,1337.0272470808004,2160.9032343070157,0.6187353629972118
57,Comisaria Comunal 15,GUZMAN 396,CHACARITA,15,1,0-300 m,1112,0.28228936414897915,3939.220322212134,3939.220322212134,1.0
57,Comisaria Comunal 15,GUZMAN 396,CHACARITA,15,2,300-600 m,2798,0.8468680924476529,3303.93838775187,3939.220322212134,0.8387290167858621
57,Comisaria Comunal 15,GUZMAN 396,CHACARITA,15,3,600-900 m,4740,1.4114468207453075,3358.256173971235,3939.220322212134,0.852517985611262
57,Comisaria Comunal 15,GUZMAN 396,CHACARITA,15,4,900-1200 m,6231,1.9760255490442793,3153.2993098260663,3939.220322212134,0.8004881808832869
55,Comisaria Comunal 4,ZAVALETA 425,PARQUE PATRICIOS,4,1,0-300 m,932,0.28228936414897915,3301.5767448756374,3301.5767448756374,1.0
55,Comisaria Comunal 4,ZAVALETA 425,PARQUE PATRICIOS,4,2,300-600 m,2224,0.8468680924476529,2626.146881472537,3301.5767448756374,0.7954220314728616
55,Comisaria Comunal 4,ZAVALETA 425,PARQUE PATRICIOS,4,3,600-900 m,4144,1.4114468207453075,2935.994427201856,3301.5767448756374,0.889270386265835
55,Comisaria Comunal 4,ZAVALETA 425,PARQUE PATRICIOS,4,4,900-1200 m,5564,1.9760255490442793,2815.7530669029425,3301.5767448756374,0.8528510116486798
