threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
0.61,0.8622062969924812,0.2710075990144305,0.72017097433659,0.39301579553017774,0.8930764839357224,904700,133287,19190,49383
0.62,0.8662503614806246,0.27627122274683946,0.7111268964190975,0.3970942140591353,0.8930764839357224,909796,128191,19811,48762
0.63,0.8701588707345286,0.28157166461236055,0.7017868160039867,0.40099698080025376,0.8930764839357224,914762,123225,20452,48121
0.64,0.8741505205320994,0.28738616800530037,0.6923547516258532,0.40521914625113303,0.8930764839357224,919826,118161,21099,47474
0.65,0.878049089068826,0.2934273987574312,0.6830090623573463,0.4094840522352957,0.8930764839357224,924781,113206,21740,46833
0.66,0.8816855841526895,0.2991889448258914,0.6728143716106584,0.413113531286266,0.8930764839357224,929505,108482,22440,46133
0.67,0.8853446717755927,0.30547490362141794,0.662690180878909,0.4170365291242394,0.8930764839357224,934249,103738,23135,45438
0.68,0.8890362926547137,0.3123047255205485,0.6525953860470455,0.4212204173820805,0.8930764839357224,939027,98960,23828,44745
0.69,0.8926140471370735,0.3192176202114239,0.6418133120020955,0.4250740796434346,0.8930764839357224,943726,94261,24568,44005
0.7,0.8962360829959515,0.32672962704202313,0.630658433844289,0.42908456426817504,0.8930764839357224,948499,89488,25333,43240
0.71,0.8996746674378254,0.33417262707090356,0.6185176928406964,0.4324706034132163,0.8930764839357224,953137,84850,26166,42407
0.72,0.9030707779063043,0.34203624367051266,0.6058902364309204,0.4357690143528873,0.8930764839357224,957761,80226,27032,41541
0.73,0.9064433921341817,0.35068064832643125,0.5939111425547698,0.43947265772199096,0.8930764839357224,962315,75672,27854,40719
0.74,0.9097419028340081,0.3594167099796131,0.5798288684806879,0.44221619173669435,0.8930764839357224,966931,71056,28820,39753
0.75,0.9130557764603818,0.36939395139173226,0.5668797200493796,0.44576560302340695,0.8930764839357224,971486,66501,29708,38865
0.76,0.9161798727588202,0.3795716118070017,0.553396421283472,0.44872567238474315,0.8930764839357224,975867,62120,30632,37941
0.77,0.919191006362059,0.39021798466254726,0.5385887731481864,0.4509374018154726,0.8930764839357224,980214,57773,31647,36926
0.78,0.9219906737998842,0.4010912744436127,0.5239821848840951,0.45271520700104784,0.8930764839357224,984313,53674,32648,35925
0.79,0.9247587116830538,0.4131476856014661,0.5090830755863889,0.454451729421845,0.8930764839357224,988397,49590,33669,34904
0.8,0.9273803499132447,0.42574176297382743,0.4938054628893214,0.45552163959970604,0.8930764839357224,992345,45642,34716,33857
0.81,0.9297489517061885,0.4381624330075479,0.4769845630542136,0.4549641781274286,0.8930764839357224,996119,41868,35869,32704
0.82,0.9320470647773279,0.45200678137055544,0.4604478150577368,0.4543555071725606,0.8930764839357224,999795,38192,37002,31571
0.83,0.934153593117409,0.4663610074601194,0.4433042542596944,0.45258527754487926,0.8930764839357224,1003301,34686,38177,30396
0.84,0.936082995951417,0.4814471295303201,0.4256247098783164,0.4497403676464947,0.8930764839357224,1006648,31339,39389,29184
0.85,0.9378822657605552,0.4976097177147172,0.40749812458987406,0.4458182126470037,0.8930764839357224,1009881,28106,40631,27942
0.86,0.9396119505494506,0.5158564346464056,0.3897720513244411,0.44163370803734886,0.8930764839357224,1013010,24977,41846,26727
0.87,0.9411084803354541,0.5347484549303183,0.37027247379321115,0.43502175691110506,0.8930764839357224,1016002,21985,43182,25391
0.88,0.9424152327935224,0.5548951535268474,0.3504390560208736,0.42687618274251393,0.8930764839357224,1018807,19180,44541,24032
0.89,0.9435719707923657,0.5769839732533025,0.32939480277040445,0.4165870578913733,0.8930764839357224,1021529,16458,45983,22590
0.9,0.9444765760555234,0.5999502244970873,0.3082369377661217,0.40436971411292666,0.8930764839357224,1023980,14007,47433,21140
0.91,0.945265507518797,0.6270860645801875,0.2851091035240546,0.38920115230356,0.8930764839357224,1026438,11549,49018,19555
0.92,0.9458791208791208,0.6571853859747483,0.26258715357029017,0.37260513528560557,0.8930764839357224,1028661,9326,50562,18011
0.93,0.9462071645459803,0.6889766256791969,0.2387160997599755,0.35212910596356795,0.8930764839357224,1030660,7327,52198,16375
0.94,0.9463228383458647,0.7248566521320051,0.21394114913196,0.32814074676336885,0.8930764839357224,1032487,5500,53897,14676
0.95,0.9461041425679584,0.7641025755780309,0.1870264760119146,0.29849754741679135,0.8930764839357224,1034091,3896,55743,12830
