id,nombre,anillo,distancia,radio_in,radio_out,cantidad_delitos,area_m2,area_km2,densidad_delitos_km2
12,Comisaria Vecinal 4-C,2,300-600 m,300,600,4211,846868.092447653,0.8468680924476529,4972.439081780959
12,Comisaria Vecinal 4-C,3,600-900 m,600,900,4085,1411446.8207453075,1.4114468207453075,2894.1933482431423
12,Comisaria Vecinal 4-C,4,900-1200 m,900,1200,4515,1976025.5490442794,1.9760255490442793,2284.889485454131
13,Comisaria Vecinal 4-D (edificio anexo),1,0-300 m,0,300,1561,282289.36414897913,0.28228936414897915,5529.786801234839
13,Comisaria Vecinal 4-D (edificio anexo),2,300-600 m,300,600,3244,846868.092447653,0.8468680924476529,3830.5847497737905
13,Comisaria Vecinal 4-D (edificio anexo),3,600-900 m,600,900,4850,1411446.8207453075,1.4114468207453075,3436.1903889790065
13,Comisaria Vecinal 4-D (edificio anexo),4,900-1200 m,900,1200,5469,1976025.5490442794,1.9760255490442793,2767.67676543713
45,Comisaria Vecinal 15-B,1,0-300 m,0,300,2409,282289.36414897913,0.28228936414897915,8533.796543353445
45,Comisaria Vecinal 15-B,2,300-600 m,300,600,4214,846868.092447653,0.8468680924476529,4975.981546099492
45,Comisaria Vecinal 15-B,3,600-900 m,600,900,6548,1411446.8207453075,1.4114468207453075,4639.211271553512
45,Comisaria Vecinal 15-B,4,900-1200 m,900,1200,8539,1976025.5490442794,1.9760255490442793,4321.300402279695
3,Comisaria Vecinal 1-A,1,0-300 m,0,300,2316,282289.36414897913,0.28228936414897915,8204.347361729588
3,Comisaria Vecinal 1-A,2,300-600 m,300,600,11467,846868.092447653,0.8468680924476529,13540.479446873014
3,Comisaria Vecinal 1-A,3,600-900 m,600,900,13200,1411446.8207453075,1.4114468207453075,9352.105800932553
3,Comisaria Vecinal 1-A,4,900-1200 m,900,1200,22225,1976025.5490442794,1.9760255490442793,11247.324211343977
15,Comisaria Vecinal 4-D,1,0-300 m,0,300,1149,282289.36414897913,0.28228936414897915,4070.291501997969
15,Comisaria Vecinal 4-D,2,300-600 m,300,600,2712,846868.092447653,0.8468680924476529,3202.387743953921
15,Comisaria Vecinal 4-D,3,600-900 m,600,900,3411,1411446.8207453075,1.4114468207453075,2416.6691581046166
15,Comisaria Vecinal 4-D,4,900-1200 m,900,1200,3965,1976025.5490442794,1.9760255490442793,2006.5530032836389
