id_cajero,densidad_1,densidad_2,densidad_3,id_original,banco,red,barrio,comuna,tipo
125,765.1722928040539,170.0382872899489,306.06891712149974,11680,CABAL COOP. LTDA.,LINK,Boca,Comuna 4,A (0-50m)
126,2805.6317402815307,127.52871546746167,25.50574309345831,11523,BANCO DE LA NACION ARGENTINA,LINK,Flores,Comuna 7,A (0-50m)
127,1402.8158701407654,170.0382872899489,51.01148618691662,10981,CABAL COOP. LTDA.,LINK,Parque Avellaneda,Comuna 9,A (0-50m)
128,2423.045593879504,5058.639046875979,1249.7814115794572,10980,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Parque Avellaneda,Comuna 9,B (50-100m)
129,382.58614640202694,297.56700275741053,306.06891712149974,11216,BANCO DE LA NACION ARGENTINA,LINK,Villa Devoto,Comuna 11,A (0-50m)
130,2550.5743093468463,1912.930732011925,943.7124944579575,11434,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Villa Real,Comuna 10,A (0-50m)
131,6248.9070578997735,1615.3637292545145,7473.182726383286,11091,CABAL COOP. LTDA.,LINK,Villa Soldati,Comuna 8,C (100-150m)
132,5866.320911497746,2338.0264502367972,3392.2638314299556,11772,BANCO DE LA NACION ARGENTINA,LINK,Colegiales,Comuna 13,A (0-50m)
133,2678.1030248141883,2848.141312106644,3570.8040330841636,11770,CABAL COOP. LTDA.,LINK,Chacarita,Comuna 15,C (100-150m)
134,2423.045593879504,4038.4093231362863,1657.8733010747903,11769,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Chacarita,Comuna 15,B (50-100m)
135,24230.45593879504,1402.8158701420784,586.6320911495412,10956,CABAL COOP. LTDA.,LINK,Belgrano,Comuna 13,A (0-50m)
136,10584.88338378941,2678.103024816695,2014.9537043832067,11766,BANCO DE LA NACION ARGENTINA,LINK,Chacarita,Comuna 15,A (0-50m)
137,4591.033756824323,510.11486186984666,51.01148618691662,11655,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Caballito,Comuna 6,A (0-50m)
138,6248.9070578997735,1572.8541574320273,1377.310127046749,11660,BANCO DE LA NACION ARGENTINA,LINK,Caballito,Comuna 6,A (0-50m)
139,4718.5624722916655,1615.3637292545145,1224.275668485999,11662,BANCO DE LA NACION ARGENTINA,LINK,Caballito,Comuna 6,A (0-50m)
140,892.7010082713962,1912.930732011925,867.1952651775827,11525,NUEVO BCO. INDUSTRIAL DE AZUL S.A.,LINK,Villa Santa Rita,Comuna 11,B (50-100m)
141,382.58614640202694,340.0765745798978,2346.528364598165,11717,BANCO DE LA NACION ARGENTINA,LINK,Retiro,Comuna 1,C (100-150m)
142,1402.8158701407654,425.0957182248722,1275.2871546729157,11007,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Recoleta,Comuna 2,A (0-50m)
143,1147.7584392060808,2465.555165704259,1020.2297237383325,11005,BANCO DE LA NACION ARGENTINA,LINK,Recoleta,Comuna 2,B (50-100m)
144,16451.204295287156,3018.179599396593,3162.7121435888307,11003,BANCO DE LA NACION ARGENTINA,LINK,Recoleta,Comuna 2,A (0-50m)
145,3825.861464020269,255.05743093492333,714.1608066168327,10996,NUEVO BCO. INDUSTRIAL DE AZUL S.A.,LINK,Recoleta,Comuna 2,A (0-50m)
146,22572.582637719588,10074.768521929473,3239.2293728692057,10993,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Recoleta,Comuna 2,A (0-50m)
147,14665.802278744366,4378.485897716184,1759.8962734486236,11788,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Palermo,Comuna 14,A (0-50m)
148,892.7010082713962,765.17229280477,994.7239806448741,11232,CABAL COOP. LTDA.,LINK,Villa Pueyrredon,Comuna 12,C (100-150m)
149,4718.5624722916655,680.1531491597956,153.03445856074987,11217,BANCO DE LA NACION ARGENTINA,LINK,Villa Devoto,Comuna 11,A (0-50m)
150,5483.734765095719,2508.0647375267463,1224.275668485999,11224,BANCO DE LA NACION ARGENTINA,LINK,,,A (0-50m)
151,2423.045593879504,170.0382872899489,51.01148618691662,10977,BANCO DE LA NACION ARGENTINA,LINK,Mataderos,Comuna 9,A (0-50m)
152,765.1722928040539,552.6244336923339,637.6435773364578,11225,BANCO DE LA NACION ARGENTINA,LINK,Saavedra,Comuna 12,A (0-50m)
153,11860.170538462835,1020.2297237396933,1657.8733010747903,10963,BANCO DE LA NACION ARGENTINA,LINK,Almagro,Comuna 5,A (0-50m)
154,22445.053922252246,2933.1604557516184,5662.274966747746,11382,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,,,A (0-50m)
155,1530.3445856081078,722.6627209822827,1912.9307320093733,11089,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Villa Soldati,Comuna 8,C (100-150m)
156,3825.861464020269,4761.072044118569,2218.999649130873,11656,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Caballito,Comuna 6,B (50-100m)
157,892.7010082713962,807.6818646272573,382.58614640187466,10978,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Mataderos,Comuna 9,A (0-50m)
158,2805.6317402815307,637.6435773373083,1198.7699253925407,10976,CABAL COOP. LTDA.,LINK,Mataderos,Comuna 9,A (0-50m)
159,6121.378342432431,1445.3254419645655,2193.493906037415,10979,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Mataderos,Comuna 9,A (0-50m)
160,14920.85970967905,425.0957182248722,1249.7814115794572,10973,BANCO DE LA NACION ARGENTINA,LINK,Mataderos,Comuna 9,A (0-50m)
161,5866.320911497746,2210.4977347693357,1683.3790441682486,10975,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Mataderos,Comuna 9,A (0-50m)
162,3698.332748552927,1445.3254419645655,5534.746251280454,11422,CABAL COOP. LTDA.,LINK,Liniers,Comuna 9,C (100-150m)
163,6121.378342432431,40851.698521410224,9309.596229112283,11677,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,,,B (50-100m)
164,1912.9307320101345,212.5478591124361,51.01148618691662,11405,BANCO DE LA NACION ARGENTINA,LINK,Monserrat,Comuna 1,A (0-50m)
165,10839.940814724096,3103.1987430415675,1224.275668485999,11397,BANCO DE LA NACION ARGENTINA,LINK,Monserrat,Comuna 1,A (0-50m)
166,3443.2753176182423,1402.8158701420784,535.6206049626245,11385,BANCO DE LA NACION ARGENTINA,LINK,Monserrat,Comuna 1,A (0-50m)
167,19129.307320101347,425.0957182248722,306.06891712149974,11402,BANCO DE LA NACION ARGENTINA,LINK,,,A (0-50m)
168,2167.988162944819,5271.186905988416,2270.01113531779,11090,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Villa Soldati,Comuna 8,B (50-100m)
169,8544.423936311934,425.0957182248722,841.6895220841243,11430,CABAL COOP. LTDA.,LINK,Parque Chacabuco,Comuna 7,A (0-50m)
170,255.05743093468462,212.5478591124361,25.50574309345831,10967,BANCO DE LA NACION ARGENTINA,LINK,Parque Chacabuco,Comuna 7,A (0-50m)
171,3953.3901794876115,3315.7466021540035,1555.850328700957,10966,BANCO DE LA NACION ARGENTINA,LINK,Parque Chacabuco,Comuna 7,A (0-50m)
172,3953.3901794876115,1402.8158701420784,1657.8733010747903,10884,CABAL COOP. LTDA.,LINK,Nueva Pompeya,Comuna 4,A (0-50m)
173,7014.079350703827,4633.543328651107,4233.95335351408,11659,BANCO DE LA NACION ARGENTINA,LINK,Caballito,Comuna 6,A (0-50m)
174,382.58614640202694,0.0,0.0,11714,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Retiro,Comuna 1,A (0-50m)
175,66059.87461208331,1700.3828728994888,1173.2641822990824,11703,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,,,A (0-50m)
176,3188.217886683558,765.17229280477,688.6550635233745,10974,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Mataderos,Comuna 9,A (0-50m)
177,8799.481367246619,5228.677334165928,969.2182375514159,11800,BANCO DE LA NACION ARGENTINA,LINK,Palermo,Comuna 14,A (0-50m)
178,7651.722928040538,2167.988162946848,357.08040330841635,11781,BANCO DE LA NACION ARGENTINA,LINK,Palermo,Comuna 14,A (0-50m)
179,255.05743093468462,170.0382872899489,0.0,11699,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,,,A (0-50m)
180,9309.596229115989,977.7201519172061,1938.4364751028318,11510,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Boca,Comuna 4,A (0-50m)
181,6503.964488834457,1105.2488673846678,2116.97667675704,11501,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Barracas,Comuna 4,A (0-50m)
182,10202.297237387385,3613.313604911414,2474.0570800654564,11502,BANCO DE LA NACION ARGENTINA,LINK,Barracas,Comuna 4,A (0-50m)
183,18491.663742764635,3060.68917121908,790.6780358972077,10961,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Coghlan,Comuna 12,A (0-50m)
184,2678.1030248141883,3528.2944612664396,1912.9307320093733,10957,BANCO DE LA NACION ARGENTINA,LINK,Belgrano,Comuna 13,B (50-100m)
185,3188.217886683558,212.5478591124361,204.04594474766648,11498,BANCO DE LA NACION ARGENTINA,LINK,Barracas,Comuna 4,A (0-50m)
186,17726.49144996058,5526.244336923339,2014.9537043832067,11503,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Barracas,Comuna 4,A (0-50m)
187,8161.837789909908,2040.4594474793867,1479.3330994205821,11500,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Barracas,Comuna 4,A (0-50m)
188,1657.87330107545,637.6435773373083,382.58614640187466,11233,BANCO DE LA NACION ARGENTINA,LINK,Villa Santa Rita,Comuna 11,A (0-50m)
189,3188.217886683558,2082.9690193018737,841.6895220841243,11234,CABAL COOP. LTDA.,LINK,Villa Santa Rita,Comuna 11,A (0-50m)
190,42594.59096609233,3145.7083148640545,5942.838140775787,11515,CABAL COOP. LTDA.,LINK,Flores,Comuna 7,A (0-50m)
191,1275.2871546734232,2550.5743093492333,2474.0570800654564,11086,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,San Telmo,Comuna 1,B (50-100m)
192,892.7010082713962,552.6244336923339,76.51722928037493,11392,BANCO DE LA NACION ARGENTINA,LINK,Monserrat,Comuna 1,A (0-50m)
193,4591.033756824323,4250.957182248722,1989.4479612897483,11391,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Monserrat,Comuna 1,A (0-50m)
194,3825.861464020269,4931.110331408518,2448.551336971998,11380,BANCO DE LA NACION ARGENTINA,LINK,Monserrat,Comuna 1,B (50-100m)
195,4335.976325889638,3443.275317621465,204.04594474766648,11084,BANCO DE LA NACION ARGENTINA,LINK,San Telmo,Comuna 1,A (0-50m)
196,7269.136781638512,2423.0455938817718,4489.010784448663,11672,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,,,A (0-50m)
197,3698.332748552927,3443.275317621465,3468.7810607103306,11671,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Caballito,Comuna 6,A (0-50m)
198,4208.447610422296,1445.3254419645655,1428.3216132336654,11401,BANCO DE LA NACION ARGENTINA,LINK,,,A (0-50m)
199,32647.35115963963,5823.811339680749,25.50574309345831,11047,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,San Nicolas,Comuna 1,A (0-50m)
200,3443.2753176182423,1360.3062983195912,1147.758439205624,11008,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Recoleta,Comuna 2,A (0-50m)
201,8034.309074442565,2678.103024816695,1249.7814115794572,11001,BANCO HIPOTECARIO S.A.,LINK,Recoleta,Comuna 2,A (0-50m)
202,0.0,0.0,841.6895220841243,11799,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,,,C (100-150m)
203,0.0,42.509571822487224,0.0,11725,BANCO DE LA NACION ARGENTINA,LINK,,,B (50-100m)
204,19766.95089743806,32094.726725977853,3953.3901794860385,11708,CABAL COOP. LTDA.,LINK,Retiro,Comuna 1,B (50-100m)
205,3570.8040330855847,2635.593452994208,127.52871546729156,11716,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Retiro,Comuna 1,A (0-50m)
206,3060.6891712162155,552.6244336923339,51.01148618691662,11712,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Retiro,Comuna 1,A (0-50m)
207,22062.46777585022,8374.385649029982,1351.8043839532904,11704,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,,,A (0-50m)
208,52669.35948801237,14963.369281515503,1708.8847872617068,11724,BANCO DE LA NACION ARGENTINA,LINK,,,A (0-50m)
209,4208.447610422296,4293.46675407121,7141.608066168327,11805,CABAL COOP. LTDA.,LINK,Palermo,Comuna 14,C (100-150m)
210,4080.918894954954,3103.1987430415675,739.6665497102911,11509,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Boca,Comuna 4,A (0-50m)
211,3825.861464020269,3230.727458509029,1963.94221819629,11506,CABAL COOP. LTDA.,LINK,Barracas,Comuna 4,A (0-50m)
212,1912.9307320101345,127.52871546746167,306.06891712149974,11508,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Boca,Comuna 4,A (0-50m)
213,10967.469530191438,1912.930732011925,4259.459096607538,11507,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Boca,Comuna 4,A (0-50m)
214,1020.2297237387385,595.1340055148211,25.50574309345831,11101,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Saavedra,Comuna 12,A (0-50m)
215,1530.3445856081078,2295.51687841431,1147.758439205624,11529,CABAL COOP. LTDA.,LINK,Saavedra,Comuna 12,B (50-100m)
216,1147.7584392060808,2593.083881171721,994.7239806448741,11432,BANCO DE LA NACION ARGENTINA,LINK,Villa Luro,Comuna 10,B (50-100m)
217,510.11486186936924,1105.2488673846678,178.54020165420818,11424,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Liniers,Comuna 9,B (50-100m)
218,1785.4020165427924,42.509571822487224,306.06891712149974,11421,BANCO DE LA NACION ARGENTINA,LINK,Liniers,Comuna 9,A (0-50m)
219,8289.36650537725,4123.428466781261,12625.342831261865,11189,BANCO DE LA NACION ARGENTINA,LINK,Balvanera,Comuna 3,C (100-150m)
220,6248.9070578997735,42.509571822487224,0.0,11171,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Balvanera,Comuna 3,A (0-50m)
221,4718.5624722916655,170.0382872899489,102.02297237383324,11177,CABAL COOP. LTDA.,LINK,Balvanera,Comuna 3,A (0-50m)
222,6759.021919769142,47695.73958483066,15354.457342261903,11175,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Balvanera,Comuna 3,B (50-100m)
223,11732.641822995492,31031.987430415673,4106.4246380467885,11161,BANCO DE LA NACION ARGENTINA,LINK,Balvanera,Comuna 3,B (50-100m)
224,3570.8040330855847,1742.892444721976,1326.2986408598322,11419,BANCO DE LA NACION ARGENTINA,LINK,Almagro,Comuna 5,A (0-50m)
225,21807.410344915534,7269.136781645315,7269.136781635619,11661,CABAL COOP. LTDA.,LINK,Caballito,Comuna 6,A (0-50m)
