id,nombre,linea,barrio,comuna,anillo,distancia,cantidad_delitos,area_km2,densidad,base,densidad_relativa
423,Villa Luro,Sarmiento,Villa Luro,Comuna 10,3,200-300 m,531.0,0.15682742452706455,3385.8873956599505,1530.3445856091819,2.212499999999762
150,General Urquiza,Mitre,Villa Urquiza,Comuna 12,1,0-100 m,259.0,0.03136548490540953,8257.48432651621,8257.48432651621,1.0
150,General Urquiza,Mitre,Villa Urquiza,Comuna 12,2,100-200 m,1056.0,0.09409645471650507,11222.526961101026,8257.48432651621,1.3590733590693658
150,General Urquiza,Mitre,Villa Urquiza,Comuna 12,3,200-300 m,789.0,0.15682742452706455,5031.007825189644,8257.48432651621,0.6092664092663437
236,L. M. Drago,Mitre,Villa Urquiza,Comuna 12,1,0-100 m,81.0,0.03136548490540953,2582.4564882154946,2582.4564882154946,1.0
236,L. M. Drago,Mitre,Villa Urquiza,Comuna 12,2,100-200 m,360.0,0.09409645471650507,3825.8614640117135,2582.4564882154946,1.4814814814771284
236,L. M. Drago,Mitre,Villa Urquiza,Comuna 12,3,200-300 m,452.0,0.15682742452706455,2882.1489695636487,2582.4564882154946,1.116049382715929
318,Pueyrredón,Mitre,Villa Pueyrredon,Comuna 12,1,0-100 m,46.0,0.03136548490540953,1466.580227875466,1466.580227875466,1.0
318,Pueyrredón,Mitre,Villa Pueyrredon,Comuna 12,2,100-200 m,186.0,0.09409645471650507,1976.6950897393854,1466.580227875466,1.3478260869525613
318,Pueyrredón,Mitre,Villa Pueyrredon,Comuna 12,3,200-300 m,290.0,0.15682742452706455,1849.1663742775622,1466.580227875466,1.2608695652172555
