id,lat,long,fuente
280,-34.60514213821679,-58.39664378814857,alojamientos_turisticos
287,-34.6010740158611,-58.392800345265655,alojamientos_turisticos
321,-34.603227986831016,-58.39717002914874,alojamientos_turisticos
322,-34.6147034731083,-58.393282993965656,alojamientos_turisticos
339,-34.605755117371565,-58.39447168189101,alojamientos_turisticos
373,-34.615244313509145,-58.39673413603533,alojamientos_turisticos
13,-34.61110392457984,-58.39738947169473,alojamientos_turisticos
35,-34.62789994273449,-58.37647771475177,alojamientos_turisticos
9,-34.60943881778788,-58.41472862969953,alojamientos_turisticos
59,-34.60436498493608,-58.42493865115313,alojamientos_turisticos
154,-34.62300993777582,-58.42270115146811,alojamientos_turisticos
156,-34.61544194729397,-58.42166868158554,alojamientos_turisticos
170,-34.62299166532816,-58.4225478397616,alojamientos_turisticos
203,-34.60066810287833,-58.413827195251805,alojamientos_turisticos
211,-34.60273383899061,-58.42595203790569,alojamientos_turisticos
250,-34.59980626536642,-58.42055265793297,alojamientos_turisticos
326,-34.608306055784745,-58.42011338815106,alojamientos_turisticos
330,-34.60570785611524,-58.42288066434736,alojamientos_turisticos
356,-34.605893345903205,-58.42700152380103,alojamientos_turisticos
28,-34.564855692696675,-58.4558238958585,alojamientos_turisticos
91,-34.56990463317858,-58.461316599106446,alojamientos_turisticos
167,-34.547005447245674,-58.46871557581865,alojamientos_turisticos
171,-34.5547036071124,-58.4372354919857,alojamientos_turisticos
173,-34.550164962762445,-58.46430881168925,alojamientos_turisticos
204,-34.563525719852905,-58.45910180872748,alojamientos_turisticos
206,-34.55552051138159,-58.46070951565391,alojamientos_turisticos
214,-34.54112836967231,-58.47248514989842,alojamientos_turisticos
218,-34.57402433823842,-58.44624459214123,alojamientos_turisticos
220,-34.57834428087882,-58.449558248987536,alojamientos_turisticos
222,-34.55149892747213,-58.46357117979293,alojamientos_turisticos
283,-34.57788233848025,-58.4481818117939,alojamientos_turisticos
340,-34.554238303599035,-58.46295336969353,alojamientos_turisticos
1,-34.58561279526259,-58.43013919967541,alojamientos_turisticos
3,-34.57241057764107,-58.43065913893928,alojamientos_turisticos
15,-34.58167508519098,-58.40789465180327,alojamientos_turisticos
31,-34.59709276755577,-58.42320293209499,alojamientos_turisticos
33,-34.59046928843979,-58.42352832730784,alojamientos_turisticos
34,-34.5824384956003,-58.42489307105743,alojamientos_turisticos
40,-34.57678514574476,-58.41206038847808,alojamientos_turisticos
45,-34.58470858867157,-58.43529616261942,alojamientos_turisticos
46,-34.591136851946715,-58.42859864632533,alojamientos_turisticos
56,-34.589271269434164,-58.41262814947007,alojamientos_turisticos
57,-34.59692879816524,-58.42155212945222,alojamientos_turisticos
64,-34.579227926546174,-58.43917088246334,alojamientos_turisticos
83,-34.59153059423021,-58.4212661011418,alojamientos_turisticos
98,-34.58880118779645,-58.421067899775245,alojamientos_turisticos
121,-34.583773260419434,-58.42832155547238,alojamientos_turisticos
123,-34.57882506041039,-58.43527649803236,alojamientos_turisticos
148,-34.58211618710643,-58.43900848075084,alojamientos_turisticos
190,-34.58505123055196,-58.44183630684087,alojamientos_turisticos
194,-34.58235755933898,-58.43671519041264,alojamientos_turisticos
197,-34.585164197850894,-58.413919429971,alojamientos_turisticos
209,-34.57359674844096,-58.44080926142429,alojamientos_turisticos
212,-34.58117071871652,-58.42410861524928,alojamientos_turisticos
213,-34.58366480552015,-58.43761499159182,alojamientos_turisticos
223,-34.587689147421,-58.42677563046522,alojamientos_turisticos
227,-34.58553994231485,-58.43780697581898,alojamientos_turisticos
228,-34.58827189232752,-58.431558150532986,alojamientos_turisticos
241,-34.586496889122266,-58.42665938237423,alojamientos_turisticos
242,-34.59119104300785,-58.42197334102215,alojamientos_turisticos
244,-34.5874318129656,-58.42915883946594,alojamientos_turisticos
260,-34.590966529673885,-58.428863800444105,alojamientos_turisticos
264,-34.58431072818857,-58.42765242924388,alojamientos_turisticos
288,-34.58614554610667,-58.42418440156056,alojamientos_turisticos
290,-34.57844081679015,-58.42496979436687,alojamientos_turisticos
291,-34.57892252744989,-58.42395741467006,alojamientos_turisticos
293,-34.57891834660531,-58.43217726714617,alojamientos_turisticos
294,-34.57792219623561,-58.424661030063696,alojamientos_turisticos
304,-34.581079554470726,-58.4267103301493,alojamientos_turisticos
305,-34.58679322681063,-58.42397397426539,alojamientos_turisticos
320,-34.58509881483707,-58.43944115199815,alojamientos_turisticos
324,-34.59727884432327,-58.41707667853811,alojamientos_turisticos
357,-34.587317205284435,-58.43355755197459,alojamientos_turisticos
359,-34.5767071956783,-58.42189218746263,alojamientos_turisticos
37,-34.613142102687256,-58.4357262159266,alojamientos_turisticos
275,-34.608740360493734,-58.438342880362775,alojamientos_turisticos
302,-34.608740065063486,-58.43826209037129,alojamientos_turisticos
85,-34.636508649641385,-58.4640878706318,alojamientos_turisticos
165,-34.62436029762004,-58.46777941372025,alojamientos_turisticos
313,-34.63168085791931,-58.46767455784717,alojamientos_turisticos
335,-34.6237003999212,-58.46702393553647,alojamientos_turisticos
336,-34.63365782843615,-58.46146854337292,alojamientos_turisticos
338,-34.62729474082646,-58.470510515225605,alojamientos_turisticos
350,-34.62574290495064,-58.465972287771336,alojamientos_turisticos
105,-34.63473632914955,-58.47809705474819,alojamientos_turisticos
247,-34.61789233545972,-58.47069183490117,alojamientos_turisticos
266,-34.60202974528739,-58.49417768758132,alojamientos_turisticos
208,-34.572875848845946,-58.48615840855695,alojamientos_turisticos
231,-34.586980414431906,-58.454961878234734,alojamientos_turisticos
