id_celda,area_km2,delitos_ponderados,cant_estaciones_tren,densidad_delitos,densidad_estaciones_tren
1543,0.25,217.85,0.0,871.4,0.0
1544,0.25,200.95,0.0,803.8,0.0
1545,0.25,229.95,0.0,919.8,0.0
1546,0.25,422.8,0.0,1691.2,0.0
1547,0.25,222.9,0.0,891.6,0.0
1548,0.25,190.6,0.0,762.4,0.0
1549,0.25,553.55,0.0,2214.2,0.0
1550,0.25,333.05,0.0,1332.2,0.0
1551,0.25,433.85,0.0,1735.4,0.0
1552,0.25,306.55,0.0,1226.2,0.0
1553,0.25,242.7,0.0,970.8,0.0
1554,0.25,232.9,0.0,931.6,0.0
1555,0.25,230.15,0.0,920.6,0.0
1556,0.25,270.3,0.0,1081.2,0.0
1557,0.25,458.45,0.0,1833.8,0.0
1558,0.25,667.3,0.0,2669.2,0.0
1559,0.25,1272.1,0.0,5088.4,0.0
1560,0.25,389.05,0.0,1556.2,0.0
1561,0.25,345.2,0.0,1380.8,0.0
1562,0.25,261.7,0.0,1046.8,0.0
1563,0.25,248.1,0.0,992.4,0.0
1564,0.25,206.1,0.0,824.4,0.0
1565,0.25,289.9,0.0,1159.6,0.0
1566,0.25,339.3,0.0,1357.2,0.0
1567,0.25,67.35,0.0,269.4,0.0
1568,0.25,54.8,0.0,219.2,0.0
1569,0.25,97.9,0.0,391.6,0.0
1570,0.25,170.6,0.0,682.4,0.0
1571,0.25,211.4,0.0,845.6,0.0
1572,0.25,207.75,0.0,831.0,0.0
1573,0.25,206.1,0.0,824.4,0.0
1574,0.25,137.2,0.0,548.8,0.0
1575,0.25,136.55,0.0,546.2,0.0
1576,0.25,370.1,0.0,1480.4,0.0
1577,0.25,213.9,0.0,855.6,0.0
1578,0.25,194.75,0.0,779.0,0.0
1579,0.25,251.8,0.0,1007.2,0.0
1580,0.25,360.55,0.0,1442.2,0.0
1581,0.25,375.35,0.0,1501.4,0.0
1582,0.25,443.35,0.0,1773.4,0.0
1583,0.25,228.95,0.0,915.8,0.0
1584,0.25,26.3,0.0,105.2,0.0
1585,0.25,0.3,0.0,1.2,0.0
1587,0.25,0.15,0.0,0.6,0.0
1595,0.25,47.3,0.0,189.2,0.0
1596,0.25,177.75,0.0,711.0,0.0
1597,0.25,199.75,0.0,799.0,0.0
1598,0.25,248.05,0.0,992.2,0.0
