id_celda,area_km2,delitos_ponderados,cant_paradas,densidad_delitos,densidad_paradas
3871,0.0625,56.75,1.0,908.0,16.0
3872,0.0625,22.25,0.0,356.0,0.0
3873,0.0625,18.35,1.0,293.6,16.0
3874,0.0625,3.05,0.0,48.8,0.0
3943,0.0625,2.85,0.0,45.6,0.0
3944,0.0625,208.75,0.0,3340.0,0.0
3945,0.0625,40.4,0.0,646.4,0.0
3946,0.0625,40.05,0.0,640.8,0.0
3947,0.0625,53.85,0.0,861.6,0.0
3948,0.0625,42.1,0.0,673.6,0.0
3949,0.0625,47.25,3.0,756.0,48.0
3950,0.0625,48.05,1.0,768.8,16.0
3951,0.0625,63.9,2.0,1022.4,32.0
3952,0.0625,54.05,0.0,864.8,0.0
3953,0.0625,47.1,0.0,753.6,0.0
3954,0.0625,45.35,1.0,725.6,16.0
3955,0.0625,44.85,0.0,717.6,0.0
3956,0.0625,187.05,3.0,2992.8,48.0
3957,0.0625,56.75,0.0,908.0,0.0
3959,0.0625,2.9,0.0,46.4,0.0
3960,0.0625,62.75,0.0,1004.0,0.0
3961,0.0625,54.2,2.0,867.2,32.0
3962,0.0625,33.55,0.0,536.8,0.0
3963,0.0625,64.65,3.0,1034.4,48.0
3964,0.0625,45.1,0.0,721.6,0.0
3965,0.0625,52.6,0.0,841.6,0.0
3966,0.0625,38.55,1.0,616.8,16.0
3967,0.0625,110.15,3.0,1762.4,48.0
3968,0.0625,53.25,0.0,852.0,0.0
3969,0.0625,49.7,2.0,795.2,32.0
3970,0.0625,44.15,0.0,706.4,0.0
3971,0.0625,181.9,1.0,2910.4,16.0
3972,0.0625,124.25,4.0,1988.0,64.0
3973,0.0625,67.55,0.0,1080.8,0.0
3974,0.0625,16.95,0.0,271.2,0.0
3975,0.0625,23.75,0.0,380.0,0.0
3976,0.0625,32.15,1.0,514.4,16.0
3977,0.0625,24.0,0.0,384.0,0.0
3978,0.0625,32.05,2.0,512.8,32.0
3979,0.0625,25.4,0.0,406.4,0.0
3980,0.0625,36.55,0.0,584.8,0.0
3981,0.0625,28.849999999999998,0.0,461.59999999999997,0.0
3982,0.0625,50.75,0.0,812.0,0.0
3983,0.0625,101.95,0.0,1631.2,0.0
3984,0.0625,15.15,1.0,242.4,16.0
3985,0.0625,3.4,0.0,54.4,0.0
3986,0.0625,1.6,0.0,25.6,0.0
4051,0.0625,0.75,0.0,12.0,0.0
4052,0.0625,31.9,0.0,510.4,0.0
4053,0.0625,77.8,3.0,1244.8,48.0
4054,0.0625,68.7,2.0,1099.2,32.0
4055,0.0625,52.45,0.0,839.2,0.0
4056,0.0625,37.9,0.0,606.4,0.0
4057,0.0625,50.4,0.0,806.4,0.0
4058,0.0625,49.6,0.0,793.6,0.0
4059,0.0625,65.7,1.0,1051.2,16.0
4060,0.0625,209.3,4.0,3348.8,64.0
4061,0.0625,53.55,0.0,856.8,0.0
4062,0.0625,46.75,0.0,748.0,0.0
4063,0.0625,58.15,1.0,930.4,16.0
4064,0.0625,65.35,0.0,1045.6,0.0
4065,0.0625,94.5,4.0,1512.0,64.0
4066,0.0625,33.4,0.0,534.4,0.0
4067,0.0625,0.3,0.0,4.8,0.0
4068,0.0625,1.5999999999999999,0.0,25.599999999999998,0.0
4069,0.0625,91.8,0.0,1468.8,0.0
4070,0.0625,33.4,1.0,534.4,16.0
4071,0.0625,41.6,3.0,665.6,48.0
4072,0.0625,54.55,1.0,872.8,16.0
4073,0.0625,49.85,1.0,797.6,16.0
4074,0.0625,53.8,0.0,860.8,0.0
4075,0.0625,85.8,0.0,1372.8,0.0
4076,0.0625,44.55,4.0,712.8,64.0
4077,0.0625,50.75,0.0,812.0,0.0
4078,0.0625,89.1,2.0,1425.6,32.0
4079,0.0625,23.85,1.0,381.6,16.0
4080,0.0625,64.9,0.0,1038.4,0.0
4081,0.0625,84.1,0.0,1345.6,0.0
4082,0.0625,106.3,0.0,1700.8,0.0
